"predicate","response"
"entire",0.23
"Cuban",0.05
"geometric",0.15
"easy",0.97
"Christian",0.75
"potent",0.33
"modern",0.37
"sick",0.76
"traditional",0.78
"cold",0.5
"rural",0.64
"cheap",0.21
"Cuban",0.11
"mental",0.89
"specific",0.02
"central",0.07
"single",0.51
"waterproof",0.63
"Iraqi",0.37
"unique",0.98
"fond",0.33
"confidential",0.41
"kindly",0.59
"lazy",0.36
"senior",0.69
"golden",0.83
"efficient",0.81
"Canadian",0.06
"Afghan",0.02
"asymmetrical",0.93
"spontaneous",0.8
"sufficient",0.82
"loving",0.98
"urgent",0.58
"light",0.52
"tremendous",0.53
"American",0.12
"real",0.22
"interim",0.16
"best",0.64
"cuddly",0.57
"technical",0.54
"historical",0.41
"cultural",0.42
"wireless",0.13
"Italian",0.05
"direct",0.34
"militant",0.45
"social",0.44
"orthographic",0.11
"short",0.47
"lovely",0.64
"useless",0.55
"Australian",0.14
"personal",0.42
"potent",0.43
"temporary",0.32
"integral",0.58
"electrical",0.18
"Parisian",0.1
"graphic",0.32
"exquisite",0.49
"private",0.3
"Bangladeshi",0.07
"flashy",0.68
"friendly",0.85
"pleasant",0.74
"huge",0.77
"nasty",0.71
"happy",0.98
"virtual",0.01
"northeastern",0.19
"asymmetrical",0.22
"solar",0
"graphic",0.74
"big",0.71
"front",0.02
"female",0.49
"single",0.01
"strong",0.73
"wide",0.74
"related",0.26
"Pakistani",0.03
"traditional",0.77
"past",0.17
"French",0.01
"above",0.05
"old",0.62
"specific",0.01
"Islamic",0.05
"satisfactory",0.74
"former",0.57
"severe",0.66
"notable",0.85
"French",0
"satisfactory",0.58
"close",0.26
"accurate",0.14
"militant",0
"fine",0.64
"near",0.33
"internal",0
"political",0
"important",0.41
"nearby",0.36
"good",0.51
"tiny",0.32
"substantial",0.21
"Lebanese",0
"civil",0.19
"kindly",0.12
"Bangladeshi",0
"legit",0.11
"fundamental",0.17
"potent",0.12
"vested",0.13
"waterproof",0
"whole",0
"smooth",0.11
"corrupt",0.24
"naval",0
"single",0
"above",0
"innocent",0.21
"exquisite",0.78
"chronic",0.17
"bad",0.79
"American",0.11
"technical",0.05
"modern",0.15
"excellent",0.96
"romantic",0.97
"beautiful",0.99
"Malaysian",0.01
"monthly",0.02
"antique",0.28
"expensive",0.7
"lone",0.1
"numerous",0.04
"Sicilian",0.01
"cultural",0.33
"Parisian",0.02
"creative",0.74
"next",0.01
"vulnerable",0.81
"flashy",0.96
"organized",0.29
"past",0.01
"Jamaican",0.05
"tall",0.81
"friendly",0.93
"minor",0.51
"presidential",0.3
"short",0.87
"exact",0
"commercial",0.76
"male",0.26
"false",0.15
"interesting",1
"wide",0.32
"disgruntled",0.69
"Iranian",0
"central",0.29
"optical",0
"poor",0.83
"irate",0.74
"economic",0.17
"present",0
"qualified",0.24
"innocent",0.85
"diligent",0.82
"vegetarian",0.2
"maritime",0
"whole",0
"wrong",1
"tripartite",0.14
"chronic",0.23
"Israeli",0
"exquisite",1
"manned",0
"Palestinian",0
"unknown",0.75
"Bangladeshi",0
"affluent",0.89
"sudden",0.75
"schizophrenic",0.37
"classical",0.43
"Italian",0.25
"strong",0.7
"persistent",0.84
"virtual",0.1
"painful",0.96
"out",0.07
"magnetic",0.5
"exquisite",0.85
"inside",0.05
"mere",0.48
"historical",0.31
"blue",0.16
"natural",0.27
"Mexican",0.21
"national",0.66
"necessary",0.88
"Australian",0.37
"medical",0.33
"parochial",0.38
"wet",0.14
"Vietnamese",0.36
"big",0.45
"special",0.92
"asymmetrical",0.11
"Jewish",0.37
"cold",0.49
"Mediterranean",0.24
"actual",0
"Afghan",0
"disgusting",1
"southwestern",0.08
"vegetarian",0
"lazy",1
"early",0.75
"useful",0.66
"shrill",0.75
"veritable",0.22
"waterproof",0
"romantic",1
"political",0.35
"negative",1
"Republican",0.19
"average",0.51
"maritime",0
"similar",0.73
"nasty",0.75
"Pakistani",0.03
"temporary",0.27
"outstanding",0.84
"spontaneous",0.37
"Jamaican",0.01
"electoral",0
"substantive",0.73
"forceful",0.71
"manned",0.08
"Lebanese",0
"fake",0.73
"Parisian",0.67
"past",0.82
"murderous",0.95
"traditional",0.93
"sick",0.24
"electrical",0.21
"old",0.36
"free",0.29
"inside",0.47
"lazy",0.79
"fresh",0.9
"bright",0.58
"ordinary",0.78
"positive",0.79
"overall",0.22
"Moslem",0.18
"tall",0.82
"renal",0.49
"unique",0.84
"rural",0.8
"delicious",0.9
"cuddly",0.87
"minor",0.36
"social",0.78
"front",0.1
"British",0.07
"ecological",0.13
"Iranian",0.11
"experienced",0.9
"professional",0.84
"wrong",0.75
"public",0.03
"real",0.32
"Jewish",0.25
"veritable",0.99
"Mexican",0.27
"fantastic",0.98
"simultaneous",0.03
"interim",0.04
"inner",0.06
"Lebanese",0.09
"vital",0.68
"significant",0.67
"eerie",0.97
"nearby",0.06
"black",0.04
"local",0.06
"female",0.07
"authentic",0.94
"affluent",0.06
"sick",0.06
"Iranian",0.05
"Pakistani",0.05
"old",0.63
"Australian",0.04
"Moslem",0.06
"wireless",0.07
"near",0.17
"legal",0.03
"annual",0.04
"dear",0.96
"Bangladeshi",0.24
"scratchy",0.98
"necessary",0.19
"black",0.01
"light",0.25
"creative",0.99
"integrated",0.07
"soft",0.57
"commercial",0.18
"horrendous",0.77
"present",0.22
"vast",0.14
"handsome",0.98
"tricky",0.59
"flashy",0.14
"national",0.01
"optical",0.03
"ideological",0.4
"fantastic",0.98
"ulterior",0.04
"notable",0.24
"real",0.01
"eastern",0.04
"aggressive",0.52
"diligent",0.58
"former",0.02
"rural",0.04
"appetizing",0.99
"wet",0.05
"present",0.24
"foreign",0.3
"limited",0.78
"exact",0.21
"bloody",0.08
"Vietnamese",0
"electrical",0.02
"orthographic",0.11
"romantic",0.75
"above",0.2
"Islamic",0.1
"brave",0.81
"numerous",0.25
"recent",0.15
"dark",0.52
"eerie",0.78
"civic",0.1
"democratic",0.13
"nasty",0.85
"innocent",0.65
"useless",0.86
"Iraqi",0.02
"Parisian",0.01
"additional",0.03
"southwestern",0.09
"parochial",1
"historical",0.14
"kindly",0.71
"Israeli",0.03
"false",0.15
"funny",0.8
"Moslem",0.51
"biological",0.17
"tricky",0.94
"historical",0.21
"professional",0.42
"efficient",0.72
"tight",0.77
"common",0.67
"only",0.35
"graphic",0.74
"little",0.77
"next",0.32
"fine",0.7
"indoor",0.31
"Jamaican",0.15
"male",0.15
"terrorist",0.47
"certain",0.77
"mere",0.73
"Japanese",0.16
"popular",0.71
"soft",0.67
"European",0.12
"important",0.81
"imminent",0.66
"enormous",0.66
"loving",0.62
"ulterior",0.52
"difficult",0.65
"Dutch",0.03
"dazzling",0.97
"mandatory",0.03
"available",0.02
"twisted",0.97
"Elizabethan",0.04
"tropical",0
"permanent",0.03
"self",1
"Chinese",0
"elderly",0
"Moslem",0
"vivid",1
"colonial",0
"methodological",0
"collaborative",0.95
"athletic",0.97
"Pashtun",0.01
"mathematical",0.01
"mass",0.05
"metropolitan",0.03
"intense",0.97
"permissive",0.98
"comparable",0.55
"automatic",0.03
"gross",0.99
"further",0.48
"compound",0.01
"urban",0.01
"noble",0.97
"continued",0.08
"untidy",0.35
"superb",0.84
"open",0.14
"level",0.09
"mechanical",0.07
"morphological",0.05
"fitting",0.78
"mythical",0.49
"vaunted",0.92
"sleek",0.9
"virtuous",0.92
"visual",0.05
"extinct",0.06
"various",0.87
"upper",0.84
"noble",0.85
"artificial",0.35
"industrial",0.46
"rear",0.17
"Caribbean",0.06
"round",0.73
"self",0.5
"reserved",0.8
"same",0.82
"compound",0.5
"dangerous",0.88
"syntactic",0.1
"troubled",0.82
"considerable",0.81
"talented",0.29
"remaining",0.11
"Canaanite",0
"greasy",0
"hectic",0.88
"extinct",0.01
"considerable",0.73
"appropriate",0.78
"visual",0.08
"royal",0.07
"probable",0.72
"absurd",0.86
"coral",0.09
"armored",0.01
"sharp",0.23
"hazardous",0.47
"periodic",0.84
"syntactic",0.51
"busy",0.88
"fellow",0.29
"bushy",0.83
"honorable",0.85
"many",0.42
"bipedal",0.02
"narrow",0.38
"metropolitan",0.64
"loud",0.84
"hormonal",0.78
"such",0.81
"alleged",0.09
"slimy",0.52
"Canaanite",0.69
"monetary",0.33
"Armenian",0.72
"metallic",0.25
"collaborative",0.73
"daytime",0.45
"comfortable",0.28
"oily",0.58
"African",0.75
"rich",0.4
"hostile",0.81
"decent",0.2
"complex",0.65
"weary",0.91
"Muslim",0.31
"flavorful",0.51
"vaunted",0.85
"clear",0.21
"functional",0.73
"pretty",0.33
"level",0.77
"epistemic",0.57
"Caribbean",0.79
"deep",0.2
"plenary",0.72
"grey",0.63
"molecular",0.83
"judicial",0.62
"fashioned",0.36
"molecular",0.89
"cool",0.49
"commonplace",0.28
"complex",0.9
"African",0.79
"various",0.42
"artificial",0.1
"demographic",0.87
"stray",0.46
"populist",0.48
"Chinese",0.91
"distinguished",0.41
"elderly",0.95
"future",0.18
"Dutch",0.74
"prehistoric",0.7
"ironic",0.32
"armored",0.1
"quiet",0.79
"few",0.22
"administrative",0.23
"phenomenal",0.73
"prosperous",0.33
"neurological",0.74
"narrow",0.17
"virtuous",0.89
"adult",0.51
"last",0.1
"regulatory",0.28
"inspiring",0.72
"many",0.88
"clear",1
"noble",1
"whiskered",0.13
"royal",0.56
"orange",0.49
"collaborative",0.76
"affordable",0.86
"morphological",0.28
"Indian",0.17
"Muslim",0.2
"intense",0.76
"greasy",0.86
"regular",0.34
"educational",0.31
"own",0.15
"Victorian",0.2
"round",0.09
"wild",0.71
"urban",0.35
"liberal",0.85
"dry",0.7
"tired",0.69
"twisted",0.73
"verbal",0.32
"comparable",0.79
"fast",0.7
"Catholic",0.19
"deep",0.23
"flavorful",0.46
"same",0.16
"linguistic",0.04
"greasy",0.96
"administrative",0
"western",0.22
"bleary",0.64
"mathematical",0
"hormonal",0.04
"sexual",0.38
"nutritional",0.07
"noisy",0.93
"adequate",0.98
"superb",0.96
"legislative",0.29
"upper",0
"Scottish",0.02
"calculated",0.64
"sound",0.93
"twisted",0.97
"unnamed",0.02
"senatorial",0.06
"thin",0.98
"bipedal",0.03
"extinct",0.03
"hectic",0.94
"flavorful",0.89
"orange",0.01
"casual",0.83
"loud",0.72
"unwanted",0.6
"permanent",0.26
"fiscal",0.67
"normal",0.96
"extraordinary",0.99
"vicious",0.88
"morphological",0.69
"rapid",0.95
"english",0.3
"calculated",0.92
"Roman",0.13
"commonplace",0.83
"furry",0.94
"open",0.64
"immense",0.98
"other",0.51
"permissive",0.89
"south",0.01
"environmental",0.14
"insulting",0.94
"daytime",0.1
"comfortable",0.99
"narrow",0.88
"precise",0.53
"urban",0.2
"mythical",0.84
"promising",0.88
"Armenian",0.01
"orange",0.03
"red",0.01
"dry",0.67
"current",0.63
"pretty",0.85
"vibrant",0.65
"vivid",0.41
"thorough",0.78
"domestic",0.15
"Macedonian",0.07
"Russian",0.08
"collaborative",0.36
"alleged",0.71
"wild",0.6
"gentle",0.54
"vegan",0.13
"loud",0.04
"narrow",0.31
"instant",0.29
"hectic",0.6
"greenish",0.66
"populist",0.7
"Armenian",0.03
"fiscal",0.55
"dry",0.27
"mathematical",0.15
"neoclassical",0.61
"vertical",0.18
"Spanish",0.08
"same",0.78
"upscale",0.69
"lexical",0.25
"Canadian",0.07
"cozy",0.37
"privileged",0.27
"fair",0.63
"American",0.81
"methodological",0.46
"automatic",0.33
"quick",0.68
"arrogant",0.2
"fashioned",0.5
"tired",0.56
"informed",0.39
"verbal",0.63
"tragic",0.44
"Canadian",0.25
"adult",0.67
"probable",0.39
"genuine",0.54
"vicious",0.52
"Canaanite",0.24
"prehistoric",0.65
"brown",0.92
"genetic",0.85
"harmful",0.14
"artificial",0.59
"offensive",0.77
"whiskered",0.86
"cool",0.23
"fellow",0.8
"mighty",0.3
"complex",0.76
"dedicated",0.72
"fast",0.58
"Elizabethan",0.07
"metrical",0.08
"commonplace",0.63
"sensible",0.6
"olympic",0
"extensive",0.65
"Canaanite",0
"red",0.1
"comfortable",1
"cognitive",0
"upper",0.26
"sacred",0.51
"successful",0.82
"Indian",0
"hot",0.67
"heavy",0.72
"Catholic",0
"sharp",0.35
"fitting",0.72
"arrogant",0.76
"privileged",0.51
"poetic",0.43
"unexpected",0.81
"stale",0.39
"British",0
"continued",0.46
"thorough",0.76
"African",0
"normal",0.63
"flavorful",0.86
"indigenous",0.11
"technological",0.07
"societal",0.49
"many",0.66
"genuine",0.61
"statistical",0
"insulting",0.53
"scant",0.5
"casual",0.7
"daytime",0.29
"decent",0.63
"untidy",0.61
"dubious",0.47
"prehistoric",0.04
"comparable",0.79
"polished",0.39
"quiet",0.41
"thorough",0
"probable",0.7
"bulging",0.41
"residential",0.42
"artificial",0.57
"rapid",0.57
"charming",0.66
"greenish",0.54
"constitutional",0.17
"mythical",0.78
"elderly",0.3
"colonial",0.65
"dry",0.05
"further",0.84
"Arabic",0.01
"Dutch",0.62
"populist",0
"adequate",0.98
"loud",0.7
"quiet",0.76
"glowing",1
"prehistoric",0.01
"molecular",0.2
"competent",0.5
"conscious",0.72
"precise",0.25
"adult",0.43
"British",0.03
"continued",0.6
"whiskered",0.27
"African",0
"greasy",0.98
"chief",0.62
"red",0.03
"sleek",0.35
"Canadian",0.31
"decent",0.79
"Italian",0.24
"brief",0.21
"Muslim",0.01
"many",0.92
"commonplace",0.6
"loud",0.86
"plenary",0.48
"miserable",0.42
"metallic",0.41
"honorable",0.55
"mythical",0.28
"quiet",0.75
"several",0.19
"self",0.01
"brief",0.16
"adult",0.01
"administrative",0.05
"busy",0.39
"Czech",0.53
"Pachomian",0.53
"dubious",0.94
"whiskered",0.96
"regular",0.19
"available",0.02
"prosperous",0.97
"probable",1
"part",0.03
"terrible",0.95
"prominent",1
"affordable",0.96
"Russian",0.01
"collaborative",0.6
"royal",0.97
"low",0.03
"own",0.1
"fast",0.07
"competent",0.95
"molecular",0.04
"grey",0.03
"latin",0.52
"higher",0.05
"abundant",0.5
"Victorian",0.05
"quality",0.92
"tragic",1
"phenomenal",0.98
"whiskered",0.03
"prosperous",0.56
"decisive",0.23
"comic",0.97
"intelligent",0.99
"widespread",0.51
"harmful",0.97
"vegan",0.05
"stale",0.75
"digital",0.03
"ironic",0.95
"metallic",0.07
"fluorescent",0
"thematic",0.56
"thorough",0.97
"last",0.04
"subsequent",0.05
"epistemic",0.46
"Catholic",0.08
"ironic",0.78
"hormonal",0.93
"Roman",0.05
"polished",0.69
"affordable",0.97
"distinguished",0.96
"hot",0.99
"unpleasant",0.99
"tired",0.97
"agricultural",0.16
"Scottish",0.05
"fiscal",0.45
"inspiring",0.76
"vicious",0.83
"compound",0.47
"academic",0.37
"neurological",0.06
"available",0.09
"Muslim",0.05
"dry",0.71
"probable",0.98
"extinct",0.06
"loud",0.96
"blank",0.01
"many",0.97
"domestic",0.38
"wizarding",0.52
"alleged",0.01
"increased",0
"British",0.01
"balanced",0.31
"higher",0.16
"quiet",0.73
"horizontal",0.4
"fair",0.7
"sleek",0.6
"complex",0.58
"fun",0.82
"superb",0.94
"oily",0.52
"cozy",0.8
"periodic",0.24
"arrogant",0.81
"translucent",0.11
"literary",0.71
"competent",0.74
"greasy",0.5
"discount",0.55
"methodological",0.56
"Soviet",0.03
"European",0.02
"vegan",0.03
"massive",0.64
"sound",0.18
"scant",0.67
"mythical",0.71
"educational",0.58
"resilient",0.67
"Chinese",0
"classic",0.04
"circular",0.03
"educational",0.78
"privileged",0.9
"flavorful",0.97
"horizontal",0.02
"Danish",0
"loud",0.95
"grand",0.8
"remaining",0.02
"Roman",0.02
"deep",0.88
"massive",0.95
"Canadian",0.05
"intense",0.95
"molecular",0.01
"artificial",0.84
"stray",0.95
"hostile",0.92
"strict",0.93
"olympic",0.95
"key",0.87
"nineteenth",0.02
"societal",0.71
"Moslem",0.03
"Armenian",0.01
"charming",0.96
"wooden",0.04
"armored",0.48
"tired",0.98
"vaunted",0.33
"mandatory",0.05
"fair",0.36
"plenary",0.47
"mighty",0.04
"calculated",0.07
"fateful",0.03
"prehistoric",0.28
"western",0.25
"monetary",0.15
"bushy",0.81
"greasy",0.89
"key",0.08
"Arabic",0.05
"permissive",0.98
"promising",0.7
"troubled",0.72
"sound",0.02
"considerable",0.87
"domestic",0.14
"applicable",0.04
"widespread",0.94
"permanent",0
"constitutional",0.01
"glowing",0.95
"fun",0.7
"higher",0.71
"comparable",0.04
"neurological",0.04
"fiscal",0.01
"discount",0.73
"Dutch",0.28
"wooden",0.21
"liberal",0.53
"elderly",0.18
"grand",0.85
"nutritional",0.19
"hostile",0.65
"digital",0.22
"continued",0.12
"slimy",0.72
"stray",0.31
"prehistoric",0.75
"unpretentious",0.76
"mythical",0.38
"interior",0.14
"cognitive",0.11
"genuine",0.61
"sensitive",0.61
"sexual",0.71
"regular",0.69
"dubious",0.73
"clear",0.63
"compound",0.29
"many",0.26
"cozy",0.63
"unnamed",0.26
"Spanish",0.1
"lasting",0.34
"innovative",0.6
"flat",0.57
"statistical",0.1
"Danish",0.07
"unpretentious",0.89
"judicial",0.06
"linguistic",0.12
"twisted",0.9
"current",0.7
"further",0.97
"superb",0.97
"low",0.68
"curly",0.92
"societal",0.1
"massive",0.91
"gross",0.96
"extensive",0.89
"fellow",0.63
"promising",0.96
"normal",0.97
"enough",0.95
"fast",0.94
"syntactic",0.17
"existing",0.67
"academic",0.19
"still",0.93
"lasting",0.88
"holy",0.98
"slimy",0.83
"fitting",0.82
"unwanted",0.94
"polished",0.17
"abundant",0.41
"other",0.9
"British",0.3
"Italian",0.13
"balanced",0.69
"enough",0.86
"marvelous",0.39
"upscale",0.72
"successful",0.65
"coarse",0.11
"Shakespearean",0.12
"alleged",0.48
"extraordinary",0.48
"ironic",0.08
"western",0.03
"blank",0.02
"syntactic",0.24
"olympic",0.08
"tropical",0.32
"furry",0.06
"genuine",0.43
"holy",0.53
"thorough",0.52
"athletic",0.61
"talented",0.67
"African",0.21
"literary",0.16
"continued",0.38
"functional",0.08
"greasy",0.21
"breathtaking",0.83
"noble",0.69
"wild",0.38
"busy",0.28
"few",0.13
"urban",0.16
"vaunted",0.58
"normal",0.63
"decent",0.35
"olympic",0.16
"brief",0.15
"Czech",0.07
"privileged",0.82
"bulging",0.18
"Scottish",0.06
"blank",0.11
"miserable",0.73
"Danish",0.03
"amiable",0.73
"immense",0.7
"regular",0.21
"genuine",0.41
"loud",0.35
"visual",0.11
"superb",0.77
"pragmatic",0.66
"syntactic",0.77
"probable",0.14
"hostile",0.32
"hazardous",0.27
"tired",0.63
"competent",0.61
"metropolitan",0.1
"key",0.52
"morphological",0.11
"grand",0.49
"other",0.47
"metallic",0
"indigenous",0.06
"future",0.06
"holy",0.97
"Pashtun",0.11
"adequate",0.83
"cognitive",0.51
"casual",0.75
"Sunni",0
"fair",0.18
"uncut",0.05
"dedicated",0.77
"higher",0.21
"athletic",0.24
"armored",0.04
"enough",0.79
"verbal",0.07
"dubious",0.81
"own",0.09
"genetic",0.06
"considerable",0.73
"speaking",0
"nineteenth",0.05
"harmful",0.96
"affordable",0.97
"busy",0.96
"distinguished",0.98
"abundant",0.95
"quaint",0.97
"still",0.96
"epistemic",0
"methodological",0.98
"stray",0.96
"dangerous",0.99
"agricultural",0.01
"extreme",0.96
"charming",0.94
"wooden",0.04
"half",0.51
"round",0.03
"cool",0.95
"sensitive",0.9
"Canadian",0.01
"hormonal",0.04
"existing",0.94
"own",0.05
"strict",0.96
"Dutch",0.01
"extraordinary",0.98
"Armenian",0.01
"greasy",0.96
"Chinese",0.04
"loud",1
"Canadian",0.01
"cozy",0.79
"profound",0.9
"red",0.04
"wizarding",0.94
"curly",0.75
"hidden",0.53
"shy",0.77
"environmental",0.2
"deep",0.1
"latin",0.22
"legislative",0.5
"furry",0.77
"other",0.47
"miserable",0.76
"Armenian",0.48
"liberal",0.38
"harmful",0.73
"regulatory",0.57
"bleary",0.68
"senatorial",0.44
"inspiring",0.88
"prosperous",0.91
"Pashtun",0.45
"functional",0.05
"Asian",0.49
"subsequent",0.26
"visual",0.26
"charming",0.82
"curly",0.55
"epistemic",0.67
"Russian",0.74
"Chinese",0.42
"neoclassical",0.62
"inspiring",0.36
"normal",0.7
"mythical",0.4
"english",0.6
"key",0.64
"Spanish",0.39
"collaborative",0.77
"narrow",0.32
"empty",0.71
"upper",0.44
"British",0.68
"Korean",0.62
"Indian",0.77
"unbelievable",0.42
"innovative",0.62
"unpretentious",0.69
"profound",0.49
"standing",0.64
"communal",0.69
"legislative",0.52
"rich",0.75
"intense",0.48
"standard",0.59
"bleary",0.69
"greenish",0.6
"hidden",0.89
"western",0.66
"pretty",1
"armored",0.27
"sensitive",0.91
"noisy",0.96
"syntactic",0.44
"cozy",0.88
"considerable",0.65
"level",0.12
"stale",0.34
"mechanical",0.29
"Pachomian",0.52
"dry",0.2
"tragic",0.74
"noble",0.65
"wooden",0
"further",0.24
"sleek",0.75
"mighty",0.73
"fellow",0.63
"periodic",0.09
"breathtaking",0.89
"athletic",0.35
"balanced",0.73
"gentle",0.75
"Asian",0
"greasy",0.36
"own",0.24
"Canaanite",0.53
"english",0.11
"Korean",0
"constitutional",0.18
"morphological",0
"brilliant",1
"vivid",0.45
"orange",0.22
"elderly",0.38
"insulting",1
"Russian",0
"Arabic",0
"fiscal",0
"slimy",0.53
"low",0.52
"athletic",0.25
"dedicated",0.34
"populist",0.65
"distinguished",0.82
"reserved",0.55
"thorough",0.8
"cozy",0.91
"strict",0.89
"Victorian",0
"collaborative",0.41
"mythical",0.64
"unbelievable",0.82
"informed",0.65
"rear",0.16
"tragic",0.88
"increased",0.1
"future",0.89
"decent",0.15
"vaunted",0.31
"weary",0.36
"American",0.17
"harmful",0.31
"nineteenth",0.14
"curly",0.44
"tired",0.25
"Elizabethan",0.22
"uncut",0.27
"increased",0.2
"round",0.34
"compound",0.19
"linguistic",0.33
"competent",0.25
"privileged",0.34
"dubious",0.29
"permanent",0.26
"upscale",0.27
"plenary",0.28
"metrical",0.3
"unpleasant",0.36
"unnamed",0.32
"populist",0.34
"indigenous",0.33
"industrial",0.33
"offensive",0.27
"Russian",0.33
"vacant",0.54
"shy",0.5
"stray",0.28
"Chinese",0.12
"fellow",0.8
"blank",0.11
"complex",0.16
"permissive",0.82
"stale",0.12
"fast",0.04
"low",0.12
"insufficient",0.56
"loud",0.34
"decent",0.95
"unpleasant",0.8
"cognitive",0.25
"untidy",0.82
"cool",0.27
"honorable",0.98
"communal",0.44
"twisted",0.15
"extraordinary",0.76
"pretty",0.92
"Shakespearean",0.15
"still",0.01
"slimy",0.13
"liberal",0.69
"noble",0.82
"calculated",0.45
"starched",0.62
"wild",0.53
"American",0.68
"further",0.21
"shy",0.58
"methodological",0.34
"permissive",0.85
"maternal",0.78
"mandatory",0.05
"extensive",0.19
"last",0.18
"dry",0.76
"unwanted",0.7
"distinguished",0.79
"British",0.16
"Russian",0.15
"fellow",0.49
"hidden",0.24
"hostile",0.3
"other",0.6
"genetic",0.28
"instant",0.26
"narrow",0.49
"same",0.18
"rich",0.28
"Afghan",0.08
"Armenian",0.09
"dubious",0.45
"European",0.12
"stale",0.38
"weary",0.7
"Arabic",0.09
"another",0.02
"further",0.62
"Korean",0.01
"thorough",0.02
"circular",0.01
"vegan",0.27
"demographic",0.65
"brief",0.82
"remaining",0.71
"virtuous",0.61
"self",0.77
"epistemic",0.02
"miserable",0.62
"charming",0.65
"vacant",0.27
"fellow",0.73
"hostile",0.63
"calculated",0.02
"Chinese",0.02
"Spanish",0.03
"hazardous",0.2
"Canadian",0.04
"conscious",0.06
"vibrant",0.59
"arrogant",0.67
"automatic",0.04
"amiable",0.78
"prehistoric",0.24
"many",0.83
"educational",0.66
"stylistic",0.85
"senatorial",0.05
"demographic",0.05
"horizontal",0.75
"marvelous",0.94
"available",0.1
"bleary",0.63
"tired",0.32
"circular",0.06
"dazzling",0.98
"regular",0.84
"online",0.03
"British",0.09
"collaborative",0.38
"same",0.06
"untidy",0.86
"molecular",0.34
"industrial",0.42
"classic",0.83
"part",0.11
"mathematical",0.06
"Afghan",0.21
"considerable",0.83
"decisive",0.8
"bulging",0.84
"stale",0.32
"fair",0.89
"educational",0.11
"vacant",0.12
"virtuous",0.89
"functional",0.34
"narrow",0.32
"comparable",0.17
"stray",0.26
"honorable",0.49
"strict",0.67
"another",0.21
"Indian",0.27
"extensive",0.54
"countless",0.75
"hot",0.95
"upscale",0.47
"permissive",0.32
"sensible",0.45
"Danish",0.15
"Soviet",0.17
"level",0.02
"British",0.11
"elderly",0.29
"untidy",0.73
"speaking",0.31
"unnamed",0.23
"distinguished",0.58
"instant",0.8
"maternal",0.59
"low",0.77
"continued",0.39
"glowing",0.7
"same",0.28
"judicial",0.52
"nineteenth",0.76
"hazardous",0.67
"existing",0.7
"hidden",0.53
"fashioned",0.63
"amiable",0.53
"pink",0.77
"thematic",0.42
"offensive",0.57
"shy",0.56
"Macedonian",0.61
"Afghan",0.52
"vaunted",0.48
"Indian",0.5
"uncut",0.49
"vacant",0.52
"verbal",0.48
"unbelievable",0.54
"automatic",0.5
"orange",0.48
"inspiring",0.48
"extinct",0.51
"royal",0.53
"coral",0.44
"epistemic",0.53
"legislative",0.54
"British",0.49
"Italian",0.54
"wizarding",0.57
"competent",0.49
"Victorian",0.99
"current",0.94
"vivid",0.96
"sharp",0.97
"pragmatic",0.99
"mandatory",1
"fair",0.81
"enough",0.91
"European",0.05
"random",0.97
"considerable",0.95
"royal",0.93
"functional",0.06
"bipedal",0.04
"remaining",1
"last",0.97
"green",0
"agricultural",0.78
"greenish",0.32
"standard",0.71
"continued",0.02
"terrible",0
"compound",0.92
"wooden",0.06
"wild",0.93
"rear",0.06
"shy",0.03
"immense",0.92
"American",0.08
"compact",0.97
"dry",0.01
"further",0.75
"American",0.03
"adult",0.05
"orange",0.02
"superb",0.89
"wooden",0.02
"hostile",0.65
"cognitive",0.88
"comfortable",0.8
"linguistic",0.02
"British",0
"distinguished",0.8
"narrow",0.64
"precise",0.45
"mechanical",0.16
"key",0.3
"dedicated",0.57
"fitting",0.71
"brown",0.04
"sexual",0.58
"same",0.27
"extinct",0.16
"rich",0.75
"current",0.45
"sacred",0.82
"empty",0.17
"honorable",0.81
"bulging",0.56
"random",0.77
"Elizabethan",0.9
"relevant",0.04
"structural",0.05
"Soviet",0.98
"adequate",0.02
"comfortable",0.01
"Caribbean",0.98
"extinct",0.99
"Shiite",0.98
"hormonal",0.05
"circular",0.04
"part",0.07
"Asian",0.98
"thorough",0.03
"visual",0
"insufficient",0.09
"standing",0.02
"competent",0.02
"flavorful",0
"cognitive",0.02
"methodological",0
"probable",0
"molecular",0.02
"royal",0.98
"own",0.94
"abundant",0.05
"syntactic",0
"domestic",0
"Shakespearean",0.96
"British",0.92
"greasy",0.78
"genuine",0.37
"green",0.24
"verbal",0.09
"half",0.52
"subsequent",0.05
"self",0.7
"liberal",0.83
"vacant",0.23
"noble",0.26
"curly",0.76
"permanent",0.24
"chief",0.21
"literary",0.33
"Italian",0.21
"neurological",0.64
"olympic",0.29
"unpleasant",0.78
"such",0.23
"nineteenth",0.18
"level",0.15
"standing",0.18
"fitting",0.77
"sleek",0.66
"privileged",0.75
"western",0.54
"another",0.22
"comic",0.59
"glowing",0.62
"innovative",0.44
"methodological",0.24
"strict",0.61
"enjoyable",0.78
"suburban",0.32
"hormonal",0.15
"domestic",0.34
"whiskered",0.16
"mechanical",0.24
"nineteenth",0.06
"glowing",0.36
"circular",0.27
"hectic",0.42
"Shakespearean",0.58
"British",0.2
"royal",0.41
"Soviet",0.22
"industrial",0.39
"extensive",0.42
"brief",0.51
"agricultural",0.21
"detailed",0.42
"collaborative",0.23
"part",0.42
"marvelous",0.68
